value   O
is  0


user      O
first     FIRST_NAME
name      FIRST_NAME

primary   O
last      LAST_NAME
name      LAST_NAME

name    NAME

full    NAME
name    NAME

email     EMAIL
address   EMAIL

street    ADDRESS
address   ADDRESS

address ADDRESS

billing   O
city      CITY

zip       POSTAL_CODE
code      POSTAL_CODE

home      O
work    O
phone     PHONE_NUMBER
number    PHONE_NUMBER

full    EMPLOYMENT_TYPE
time    EMPLOYMENT_TYPE

part   EMPLOYMENT_TYPE
time    EMPLOYMENT_TYPE

contract    EMPLOYMENT_TYPE

intern  EMPLOYMENT_TYPE

company IDENTIFIER
id  IDENTIFIER

user IDENTIFIER
id  IDENTIFIER

login   TIME

timestamp  TIME

ms  TIME

time    TIME

second SECONDS

nano   NANOSECONDS

slack   USER_NAME
handle  USER_NAME

skype   USER_NAME
id      USER_NAME

user    USER_NAME
name    USER_NAME

username    USER_NAME

total   PEOPLE_COUNT
employees   PEOPLE_COUNT
